,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
count,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010,1010,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010,1010,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010,1010,1010,1010,1010,1010
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2,2,6,2,2,2
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tried smoking,social drinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i am always on time,sometimes,,,,,,,,,,,,,,,,,,,,,,,,few hours a day,,,,,,,,,,,,female,right handed,secondary school,no,city,block of flats
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,551,,,,,,,,,,,,,,,,,,,,,,,,744,,,,,,,,,,,,599,909,622,756,711,599
mean,4.732673267326732,3.3277227722772276,3.112871287128713,2.287128712871287,2.122772277227723,2.9564356435643564,2.762376237623762,3.4732673267326732,3.769306930693069,2.3574257425742573,2.4445544554455445,2.9148514851485148,2.771287128712871,2.761386138613861,3.1405940594059407,2.8297029702970296,2.8356435643564355,2.3297029702970296,2.1386138613861387,4.6158415841584155,2.79009900990099,3.384158415841584,4.496039603960396,3.488118811881188,3.112871287128713,3.1554455445544556,3.7534653465346532,3.792079207920792,3.6465346534653467,2.121782178217822,3.5396039603960396,3.206930693069307,3.1376237623762377,2.595049504950495,2.3306930693069305,2.0613861386138614,4.179207920792079,3.1356435643564358,2.6356435643564358,2.6613861386138615,2.1534653465346536,3.1702970297029704,3.0821782178217823,3.784158415841584,2.508910891089109,2.2554455445544552,2.6801980198019804,2.5801980198019803,2.269306930693069,3.696039603960396,2.4574257425742574,2.3227722772277226,1.896039603960396,3.411881188118812,3.298019801980198,1.900990099009901,2.3594059405940593,3.276237623762376,3.232673267326733,3.0247524752475248,4.5594059405940595,2.9485148514851485,3.3415841584158414,2.0584158415841585,1.9722772277227723,2.2485148514851487,2.613861386138614,2.8168316831683167,3.0277227722772277,2.404950495049505,2.5792079207920793,3.0425742574257426,2.803960396039604,,,3.0316831683168317,3.0742574257425743,2.6475247524752477,3.0831683168316832,2.996039603960396,3.412871287128713,2.6376237623762377,3.8594059405940593,3.987128712871287,2.701980198019802,3.786138613861386,3.292079207920792,2.130693069306931,2.593069306930693,3.197029702970297,3.4198019801980197,3.586138613861386,3.991089108910891,1.9089108910891088,0.6633663366336634,2.228712871287129,2.976237623762376,3.978217821782178,4.01980198019802,2.887128712871287,3.7495049504950497,3.2504950495049503,2.9524752475247524,3.3059405940594058,3.297029702970297,2.100990099009901,3.3435643564356434,,,2.6732673267326734,3.4742574257425742,3.257425742574257,3.599009900990099,3.1574257425742576,2.9633663366336633,3.0702970297029704,3.618811881188119,3.517821782178218,3.014851485148515,3.487128712871287,3.5247524752475248,3.4603960396039604,3.0316831683168317,3.706930693069307,3.6356435643564358,2.9732673267326732,3.291089108910891,2.872277227722772,3.599009900990099,3.5495049504950495,3.265346534653465,2.7495049504950497,,3.023762376237624,3.233663366336634,3.0504950495049505,3.200990099009901,3.105940594059406,2.87029702970297,3.5584158415841585,20.423762376237622,173.44455445544554,66.27821782178218,1.296039603960396,,,,,,
std,0.6632216937365909,0.8332318313728307,1.1682675344198823,1.1362713845439067,1.073501092806824,1.2482229859734275,1.2596388713648932,1.1600289707182452,1.1851611921544614,1.372954576274855,1.3023555123620174,1.3746527546835747,1.2103646080307013,1.2543261349942345,1.2330257383049448,1.3425671424931303,1.324734890052671,1.3241707059007901,1.184050789852106,0.693268307467045,1.411934474210413,1.1975141640480103,0.7791155047158566,1.2079836116801355,1.3106004771746396,1.346947159192976,1.1819642615774437,1.2194072524133281,1.1293072467530738,1.1385752542510625,1.2365894470034087,1.2623037621967268,1.2552645518667147,1.293949956189438,1.3524373309855415,1.2266426495514708,0.9202939194911386,1.3178716780645099,1.34890361516901,1.3809528530564172,1.3762868098043937,1.4981683269473678,1.276524024705349,1.1415855537213486,1.381033855985362,1.2426573437752675,1.4418713615254841,1.3237197043539037,1.3194994526717605,1.1969916695214333,1.450426035949046,1.5126739881003062,1.2857703179885043,1.408123615558074,1.5049624025556274,1.1737545367275872,1.2704367585781036,1.28493971544171,1.2789063178550537,1.3201124633439107,0.7362452915976839,1.418874179356865,1.5458481961488664,1.2109319795163542,1.1640569169176493,1.254771970517062,1.2939617105688617,1.5451942383654038,1.5009820909128355,1.4006140687564035,1.386671427378906,1.3661522460168998,1.2140506119680765,,,0.9354732210428404,1.1145628915037733,1.2178547858291175,1.4061361567657178,1.274116868370965,1.1354424718170764,1.381374868844524,0.9317841213102013,0.8986459769786252,1.3552730917512292,1.125348064466401,1.1266818212460998,1.0463720488762398,1.5051123599926655,1.1986906835855022,1.5747021240163503,1.1942237675292158,0.9718127503712538,1.1565386149495285,0.47279251222801283,1.2144518463686975,1.3054090803904363,1.1886149680192546,1.0524425130177777,1.1312011881687085,1.2535874200461512,1.074815194880927,1.2771215512903442,1.4834616377111336,0.6831477667880526,1.0315628496057858,1.0553479683535945,,,1.0015736962404589,1.151476276150951,1.042728993148422,0.9426566689633717,1.0905346916569538,0.9347622851229351,1.1686391461040606,1.1193595853547225,1.1023801656660497,1.1715056120781484,1.0916080796110288,1.2686199661647477,1.1169989532803926,1.3725996757196868,0.8228955410651889,0.9994631024925195,1.2201960141734358,0.6424215538912603,1.2412323883141454,1.3103986826661538,1.1694936146227803,0.8649588111625901,1.0994298695833484,,1.142662940507746,1.3217909305813274,1.3050275401501283,1.1872292909949713,1.2035890976540615,1.2849702618066852,1.092842496813226,2.8215210215581323,9.93673720758038,13.73076890272857,1.0105901868139624,,,,,,
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,62.0,41.0,0.0,,,,,,
25%,5.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,,,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,19.0,167.0,56.0,1.0,,,,,,
50%,5.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,,,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,20.0,172.0,64.0,1.0,,,,,,
75%,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22.0,180.0,75.0,2.0,,,,,,
