Empathy,Life struggles,Judgment calls,Cars,Psychology,Fantasy/Fairy tales,Weight,Compassion to animals,Friends versus money,Reading
1.0,2.0,5.0,3.0,3.0,4.0,1.25,5.0,4.0,1.0
1.0,4.0,3.0,2.0,3.0,5.0,0.4435483870967742,5.0,5.0,3.0
1.0,1.0,4.0,3.0,2.0,5.0,0.3629032258064516,3.0,3.0,3.0
1.0,3.0,5.0,3.0,2.0,5.0,1.1693548387096775,4.0,5.0,1.0
1.0,1.0,5.0,4.0,3.0,4.0,0.9274193548387096,5.0,2.0,5.0
1.0,1.0,5.0,5.0,5.0,4.0,1.4112903225806452,5.0,3.0,2.0
1.0,4.0,5.0,4.0,3.0,5.0,1.3306451612903225,4.0,5.0,1.0
1.0,5.0,3.0,1.0,3.0,3.0,0.3629032258064516,5.0,5.0,4.0
1.0,5.0,3.0,3.0,2.0,5.0,0.5645161290322581,5.0,3.0,4.0
1.0,5.0,3.0,1.0,5.0,2.0,0.3225806451612903,3.0,5.0,5.0
1.0,2.0,5.0,3.0,5.0,5.0,0.9274193548387096,4.0,5.0,4.0
1.0,2.0,5.0,1.0,4.0,3.0,0.5645161290322581,2.0,3.0,5.0
0.0,5.0,3.0,3.0,3.0,5.0,1.0887096774193548,5.0,3.0,4.0
1.0,2.0,5.0,1.0,4.0,2.0,0.4435483870967742,4.0,5.0,3.0
1.0,2.0,5.0,1.0,3.0,4.0,0.6048387096774194,3.0,3.0,2.0
0.0,1.0,3.0,3.0,4.0,1.0,1.1693548387096775,2.0,3.0,1.0
0.0,3.0,5.0,1.0,5.0,5.0,0.967741935483871,5.0,3.0,4.0
0.0,3.0,4.0,4.0,2.0,3.0,1.935483870967742,3.0,2.0,4.0
0.0,1.0,5.0,3.0,2.0,3.0,1.3709677419354838,3.0,4.0,3.0
1.0,3.0,5.0,3.0,5.0,3.0,0.5645161290322581,5.0,5.0,5.0
0.0,4.0,5.0,5.0,3.0,5.0,0.8467741935483871,5.0,5.0,1.0
0.0,3.0,4.0,1.0,1.0,2.0,0.8467741935483871,4.0,2.0,1.0
1.0,2.0,3.0,5.0,3.0,4.0,0.3629032258064516,3.0,5.0,3.0
1.0,1.0,3.0,2.0,2.0,2.0,1.6935483870967742,4.0,5.0,5.0
1.0,4.0,5.0,1.0,5.0,5.0,1.1693548387096775,5.0,5.0,4.0
1.0,5.0,3.0,5.0,4.0,5.0,1.4112903225806452,5.0,5.0,2.0
1.0,3.0,5.0,4.0,5.0,3.0,0.6048387096774194,4.0,3.0,3.0
1.0,4.0,5.0,3.0,1.0,3.0,0.967741935483871,3.0,5.0,3.0
1.0,5.0,5.0,1.0,5.0,1.0,0.5645161290322581,2.0,2.0,1.0
1.0,3.0,3.0,1.0,2.0,4.0,0.967741935483871,3.0,4.0,2.0
0.0,2.0,3.0,2.0,3.0,4.0,1.5725806451612903,2.0,4.0,4.0
1.0,4.0,4.0,4.0,2.0,4.0,0.6048387096774194,5.0,5.0,5.0
1.0,1.0,4.0,4.0,3.0,4.0,1.532258064516129,2.0,5.0,1.0
1.0,1.0,3.0,1.0,2.0,5.0,1.0887096774193548,5.0,5.0,5.0
0.0,2.0,2.0,3.0,3.0,4.0,1.3709677419354838,3.0,5.0,3.0
1.0,1.0,4.0,3.0,5.0,3.0,1.25,3.0,4.0,5.0
1.0,3.0,4.0,2.0,4.0,4.0,0.8870967741935484,4.0,4.0,5.0
0.0,1.0,3.0,1.0,2.0,3.0,2.2580645161290325,2.0,3.0,5.0
0.0,3.0,3.0,3.0,2.0,4.0,1.4919354838709677,2.0,2.0,4.0
0.0,3.0,5.0,1.0,5.0,4.0,0.4435483870967742,5.0,3.0,4.0
1.0,5.0,4.0,2.0,4.0,5.0,0.7661290322580645,5.0,5.0,5.0
0.0,3.0,5.0,4.0,3.0,2.0,1.25,1.0,4.0,4.0
0.0,3.0,4.0,2.0,4.0,5.0,1.3709677419354838,1.0,4.0,5.0
1.0,5.0,4.0,2.0,4.0,2.0,0.5645161290322581,4.0,3.0,3.0
1.0,4.0,4.0,5.0,2.0,3.0,1.4516129032258065,4.0,5.0,4.0
1.0,2.0,4.0,4.0,3.0,2.0,1.7741935483870968,5.0,5.0,5.0
1.0,2.0,5.0,2.0,2.0,4.0,1.0887096774193548,5.0,2.0,2.0
1.0,2.0,5.0,4.0,2.0,5.0,1.8951612903225807,4.0,3.0,1.0
0.0,2.0,4.0,3.0,1.0,5.0,0.5645161290322581,3.0,3.0,5.0
